starttime	seconds	ctime	dtime	ttime	wait
Fri May 01 15:50:42 2015	1430491842	18	23	41	23
Fri May 01 15:50:47 2015	1430491847	18	23	41	23
Fri May 01 15:50:08 2015	1430491808	14	26	41	26
Fri May 01 15:50:50 2015	1430491850	15	26	41	26
Fri May 01 15:50:42 2015	1430491842	21	20	41	20
Fri May 01 15:50:34 2015	1430491834	17	24	41	24
Fri May 01 15:50:11 2015	1430491811	15	26	41	26
Fri May 01 15:50:38 2015	1430491838	20	21	41	21
Fri May 01 15:50:34 2015	1430491834	18	22	41	22
Fri May 01 15:50:32 2015	1430491832	16	25	41	25
Fri May 01 15:50:42 2015	1430491842	17	24	41	24
Fri May 01 15:50:36 2015	1430491836	22	19	41	19
Fri May 01 15:50:41 2015	1430491841	22	19	41	19
Fri May 01 15:50:42 2015	1430491842	21	20	41	20
Fri May 01 15:50:48 2015	1430491848	16	25	41	25
Fri May 01 15:50:13 2015	1430491813	15	26	41	26
Fri May 01 15:50:32 2015	1430491832	19	22	41	22
Fri May 01 15:50:16 2015	1430491816	21	20	41	20
Fri May 01 15:50:34 2015	1430491834	20	21	41	21
Fri May 01 15:50:42 2015	1430491842	17	24	41	24
Fri May 01 15:50:15 2015	1430491815	20	21	41	21
Fri May 01 15:50:42 2015	1430491842	21	19	41	19
Fri May 01 15:50:36 2015	1430491836	23	18	41	18
Fri May 01 15:50:05 2015	1430491805	14	27	41	27
Fri May 01 15:50:05 2015	1430491805	16	25	41	25
Fri May 01 15:50:34 2015	1430491834	17	24	41	24
Fri May 01 15:50:34 2015	1430491834	19	22	41	22
Fri May 01 15:50:26 2015	1430491826	22	19	41	19
Fri May 01 15:50:23 2015	1430491823	15	26	41	26
Fri May 01 15:50:42 2015	1430491842	19	22	41	21
Fri May 01 15:50:15 2015	1430491815	16	25	41	25
Fri May 01 15:50:50 2015	1430491850	15	26	41	26
Fri May 01 15:50:38 2015	1430491838	20	21	41	21
Fri May 01 15:50:29 2015	1430491829	18	23	41	23
Fri May 01 15:50:44 2015	1430491844	15	26	41	26
Fri May 01 15:50:50 2015	1430491850	15	26	41	26
Fri May 01 15:50:22 2015	1430491822	22	19	41	19
Fri May 01 15:50:41 2015	1430491841	23	18	41	18
Fri May 01 15:50:36 2015	1430491836	15	26	41	26
Fri May 01 15:50:32 2015	1430491832	18	23	41	23
Fri May 01 15:50:26 2015	1430491826	19	22	41	21
Fri May 01 15:50:41 2015	1430491841	17	24	41	24
Fri May 01 15:50:42 2015	1430491842	16	25	41	25
Fri May 01 15:50:09 2015	1430491809	20	21	41	21
Fri May 01 15:50:46 2015	1430491846	21	20	41	20
Fri May 01 15:50:23 2015	1430491823	18	23	41	23
Fri May 01 15:50:12 2015	1430491812	20	21	41	21
Fri May 01 15:50:32 2015	1430491832	18	23	41	23
Fri May 01 15:50:33 2015	1430491833	19	22	41	22
Fri May 01 15:50:38 2015	1430491838	18	23	41	23
Fri May 01 15:50:10 2015	1430491810	24	17	41	17
Fri May 01 15:50:38 2015	1430491838	19	22	41	22
Fri May 01 15:50:42 2015	1430491842	17	24	41	24
Fri May 01 15:50:41 2015	1430491841	21	20	41	20
Fri May 01 15:50:06 2015	1430491806	21	20	41	20
Fri May 01 15:50:32 2015	1430491832	20	21	41	21
Fri May 01 15:50:23 2015	1430491823	19	22	41	22
Fri May 01 15:50:38 2015	1430491838	20	21	41	21
Fri May 01 15:50:46 2015	1430491846	20	21	41	21
Fri May 01 15:50:15 2015	1430491815	20	21	41	21
Fri May 01 15:50:10 2015	1430491810	16	25	41	25
Fri May 01 15:50:44 2015	1430491844	18	23	41	23
Fri May 01 15:50:50 2015	1430491850	16	25	41	25
Fri May 01 15:50:46 2015	1430491846	17	24	41	24
Fri May 01 15:50:49 2015	1430491849	21	20	41	20
Fri May 01 15:50:34 2015	1430491834	18	23	41	23
Fri May 01 15:50:49 2015	1430491849	14	27	41	27
Fri May 01 15:50:29 2015	1430491829	20	22	41	21
Fri May 01 15:50:49 2015	1430491849	17	24	41	24
Fri May 01 15:50:32 2015	1430491832	23	19	41	18
Fri May 01 15:50:26 2015	1430491826	23	18	41	18
Fri May 01 15:50:48 2015	1430491848	14	27	41	27
Fri May 01 15:50:10 2015	1430491810	15	26	41	26
Fri May 01 15:50:19 2015	1430491819	19	22	41	22
Fri May 01 15:50:47 2015	1430491847	18	23	41	23
Fri May 01 15:50:34 2015	1430491834	18	23	41	23
Fri May 01 15:50:42 2015	1430491842	16	25	41	25
Fri May 01 15:50:23 2015	1430491823	19	22	41	22
Fri May 01 15:50:42 2015	1430491842	21	20	41	20
Fri May 01 15:50:42 2015	1430491842	22	19	41	19
Fri May 01 15:50:47 2015	1430491847	15	26	41	26
Fri May 01 15:50:38 2015	1430491838	15	26	41	26
Fri May 01 15:50:46 2015	1430491846	19	22	41	22
Fri May 01 15:50:38 2015	1430491838	15	26	41	26
Fri May 01 15:50:38 2015	1430491838	19	22	41	22
Fri May 01 15:50:44 2015	1430491844	19	22	41	22
Fri May 01 15:50:17 2015	1430491817	15	27	41	27
Fri May 01 15:50:09 2015	1430491809	18	23	41	23
Fri May 01 15:50:45 2015	1430491845	17	25	41	25
Fri May 01 15:50:36 2015	1430491836	23	18	41	18
Fri May 01 15:50:34 2015	1430491834	20	21	41	21
Fri May 01 15:50:24 2015	1430491824	21	20	41	20
Fri May 01 15:50:37 2015	1430491837	22	19	41	19
Fri May 01 15:50:29 2015	1430491829	18	23	41	23
Fri May 01 15:50:25 2015	1430491825	22	19	41	19
Fri May 01 15:50:42 2015	1430491842	21	20	41	20
Fri May 01 15:50:19 2015	1430491819	17	24	41	24
Fri May 01 15:50:34 2015	1430491834	21	21	41	21
Fri May 01 15:50:46 2015	1430491846	18	23	41	23
Fri May 01 15:50:33 2015	1430491833	17	24	41	24
Fri May 01 15:50:24 2015	1430491824	21	21	41	21
